                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                       50                    173.3                    86.36                    43.18                        2         -4.8889832496643
                        0                       50                    173.3                    86.36                    43.18          2.0009000301361         -4.8851566314697
                        0                       50                    173.3                    86.36                    43.18          2.0017998218536         -4.8813529014587
                        0                       50                    173.3                    86.36                    43.18          2.0027000904083         -4.8775725364685
                        0                       50                    173.3                    86.36                    43.18          2.0035998821259         -4.8738150596619
                        0                       50                    173.3                    86.36                    43.18           2.004499912262         -4.8700819015503
                        0                       50                    173.3                    86.36                    43.18          2.0053999423981          -4.866370677948
                        0                       50                    173.3                    86.36                    43.18          2.0062999725342         -4.8626823425293
                        0                       50                    173.3                    86.36                    43.18          2.0072000026703         -4.8590188026428
                        0                       50                    173.3                    86.36                    43.18          2.0080997943878         -4.8553791046143
                        0                       50                    173.3                    86.36                    43.18          2.0089998245239         -4.8517603874207
                        0                       50                    173.3                    86.36                    43.18          2.0099000930786         -4.8481669425964
                        0                       50                    173.3                    86.36                    43.18          2.0107998847961          -4.844596862793
                        0                       50                    173.3                    86.36                    43.18          2.0116999149323         -4.8410511016846
                        0                       50                    173.3                    86.36                    43.18          2.0125999450684         -4.8375272750854
                        0                       50                    173.3                    86.36                    43.18          2.0134999752045         -4.8340291976929
                        0                       50                    173.3                    86.36                    43.18          2.0144000053406         -4.8305535316467
                        0                       50                    173.3                    86.36                    43.18          2.0152997970581         -4.8271017074585
                        0                       50                    173.3                    86.36                    43.18          2.0161998271942         -4.8236718177795
                        0                       50                    173.3                    86.36                    43.18          2.0170998573303         -4.8202686309814
                        0                       50                    173.3                    86.36                    43.18          2.0179998874664         -4.8168888092041
                        0                       50                    173.3                    86.36                    43.18          2.0188999176025         -4.8135333061218
                        0                       50                    173.3                    86.36                    43.18          2.0197999477386         -4.8102006912231
                        0                       50                    173.3                    86.36                    43.18          2.0206999778748         -4.8068923950195
                        0                       50                    173.3                    86.36                    43.18          2.0216000080109         -4.8036069869995
                        0                       50                    173.3                    86.36                    43.18          2.0224997997284          -4.800347328186
                        0                       50                    173.3                    86.36                    43.18          2.0233998298645         -4.7971110343933
                        0                       50                    173.3                    86.36                    43.18          2.0242998600006         -4.7938985824585
                        0                       50                    173.3                    86.36                    43.18          2.0251998901367         -4.7907104492188
                        0                       50                    173.3                    86.36                    43.18          2.0260999202728         -4.7875471115112
                        0                       50                    173.3                    86.36                    43.18          2.0269999504089         -4.7844080924988
                        0                       50                    173.3                    86.36                    43.18           2.027899980545         -4.7812924385071
                        0                       50                    173.3                    86.36                    43.18          2.0288000106812         -4.7782020568848
                        0                       50                    173.3                    86.36                    43.18          2.0296998023987         -4.7751350402832
                        0                       50                    173.3                    86.36                    43.18          2.0305998325348         -4.7720913887024
                        0                       50                    173.3                    86.36                    43.18          2.0314998626709         -4.7690744400024
                        0                       50                    173.3                    86.36                    43.18           2.032399892807         -4.7660794258118
                        0                       50                    173.3                    86.36                    43.18          2.0332999229431         -4.7631092071533
                        0                       50                    173.3                    86.36                    43.18          2.0341999530792         -4.7601642608643
                        0                       50                    173.3                    86.36                    43.18          2.0350999832153         -4.7572441101074
                        0                       50                    173.3                    86.36                    43.18          2.0360000133514         -4.7543468475342
                        0                       50                    173.3                    86.36                    43.18           2.036899805069         -4.7514743804932
                        0                       50                    173.3                    86.36                    43.18          2.0377998352051         -4.7486262321472
                        0                       50                    173.3                    86.36                    43.18          2.0386998653412         -4.7458028793335
                        0                       50                    173.3                    86.36                    43.18          2.0395998954773         -4.7430047988892
                        0                       50                    173.3                    86.36                    43.18          2.0404999256134         -4.7402291297913
                        0                       50                    173.3                    86.36                    43.18          2.0413999557495         -4.7374792098999
                        0                       50                    173.3                    86.36                    43.18          2.0422999858856         -4.7347536087036
                        0                       50                    173.3                    86.36                    43.18          2.0432000160217         -4.7320518493652
                        0                       50                    173.3                    86.36                    43.18          2.0440998077393         -4.7293744087219
                        0                       50                    173.3                    86.36                    43.18          2.0449998378754          -4.726722240448
