                        L                       Lg                        b                        a          Frequency / GHz                    Value
                        0                    173.3                    86.36                    43.18          2.0692999362946       -0.066033348441124
                        0                    173.3                    86.36                    43.18          2.0701999664307       -0.065510131418705
                        0                    173.3                    86.36                    43.18          2.0710999965668        -0.06499058753252
                        0                    173.3                    86.36                    43.18          2.0720000267029       -0.064474731683731
                        0                    173.3                    86.36                    43.18          2.0728998184204        -0.06396621465683
                        0                    173.3                    86.36                    43.18          2.0737998485565       -0.063459806144238
                        0                    173.3                    86.36                    43.18          2.0746998786926       -0.062961250543594
                        0                    173.3                    86.36                    43.18          2.0755999088287       -0.062465332448483
                        0                    173.3                    86.36                    43.18          2.0764999389648       -0.061975177377462
                        0                    173.3                    86.36                    43.18           2.077399969101       -0.061489224433899
                        0                    173.3                    86.36                    43.18          2.0782999992371       -0.061009027063847
                        0                    173.3                    86.36                    43.18          2.0792000293732       -0.060532510280609
                        0                    173.3                    86.36                    43.18          2.0800998210907       -0.060061231255531
                        0                    173.3                    86.36                    43.18          2.0809998512268       -0.059595189988613
                        0                    173.3                    86.36                    43.18          2.0818998813629       -0.059133343398571
                        0                    173.3                    86.36                    43.18           2.082799911499       -0.058677263557911
                        0                    173.3                    86.36                    43.18          2.0836999416351       -0.058224841952324
                        0                    173.3                    86.36                    43.18          2.0845999717712       -0.057777144014835
                        0                    173.3                    86.36                    43.18          2.0855000019073       -0.057335197925568
                        0                    173.3                    86.36                    43.18          2.0864000320435       -0.056898485869169
                        0                    173.3                    86.36                    43.18           2.087299823761       -0.056465446949005
                        0                    173.3                    86.36                    43.18          2.0881998538971       -0.056037116795778
                        0                    173.3                    86.36                    43.18          2.0890998840332        -0.05561401695013
                        0                    173.3                    86.36                    43.18          2.0899999141693       -0.055194064974785
                        0                    173.3                    86.36                    43.18          2.0908999443054       -0.054780907928944
                        0                    173.3                    86.36                    43.18          2.0917999744415       -0.054370373487473
                        0                    173.3                    86.36                    43.18          2.0927000045776       -0.053965590894222
                        0                    173.3                    86.36                    43.18          2.0936000347137        -0.05356603115797
                        0                    173.3                    86.36                    43.18          2.0944998264313       -0.053171180188656
                        0                    173.3                    86.36                    43.18          2.0953998565674       -0.052779473364353
                        0                    173.3                    86.36                    43.18          2.0962998867035       -0.052394554018974
                        0                    173.3                    86.36                    43.18          2.0971999168396       -0.052013304084539
                        0                    173.3                    86.36                    43.18          2.0980999469757       -0.051635708659887
                        0                    173.3                    86.36                    43.18          2.0989999771118       -0.051264382898808
