6.56, 35.67
7.68, 38.74
8.80, 42.29
9.92, 46.49
11.04, 50.68
12.16, 54.88
13.28, 59.40
14.40, 63.92
15.52, 68.11
16.64, 72.63
17.76, 76.50
18.88, 80.38
20.00, 84.25
21.12, 87.48
22.24, 90.38
23.36, 92.96
24.48, 95.22
25.60, 97.16
26.72, 98.61
27.84, 99.10
28.96, 99.58
30.08, 99.74
31.20, 99.10
32.32, 98.77
33.44, 97.16
34.56, 95.38
35.68, 92.96
36.80, 90.22
37.92, 87.15
39.04, 83.60
40.17, 79.73
41.29, 75.86
42.41, 71.18
43.53, 66.50
44.65, 61.49
45.77, 56.49
46.89, 51.17
48.01, 45.68
49.13, 40.52
50.25, 35.51
51.37, 30.67
52.49, 25.99
53.51, 22.02
