8.43, 83.44
9.55, 88.93
10.67, 94.90
11.79, 101.84
12.91, 108.78
14.03, 116.04
15.15, 123.62
16.27, 131.37
17.39, 139.12
18.51, 146.86
19.63, 154.77
20.75, 162.84
21.87, 170.26
22.99, 177.68
24.11, 184.62
25.23, 191.89
26.35, 198.18
27.47, 204.15
28.59, 209.96
29.71, 215.12
30.83, 219.97
31.95, 224.32
33.07, 227.87
34.19, 231.10
35.31, 233.68
36.43, 235.62
37.55, 236.59
38.67, 237.88
39.79, 238.36
40.91, 236.91
42.03, 236.26
43.15, 234.17
44.27, 231.91
45.39, 229.00
46.51, 224.97
47.63, 221.09
48.75, 216.41
49.87, 210.93
50.99, 205.12
52.11, 198.82
53.23, 191.89
54.35, 184.46
55.47, 176.88
56.60, 168.81
57.72, 160.26
58.84, 151.86
59.96, 142.83
61.08, 133.79
62.20, 124.75
63.32, 115.39
64.44, 106.03
65.56, 96.84
66.68, 87.80
67.80, 78.92
68.92, 70.37
70.04, 61.82
71.16, 53.91
71.90, 49.23
