                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2        -0.11060005426407
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361        -0.10981617867947
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536        -0.10903447121382
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083        -0.10825441032648
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259        -0.10747441649437
                        0                        0                    173.3                    86.36                    43.18           2.004499912262        -0.10669606924057
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981        -0.10592040419579
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342        -0.10514638572931
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703        -0.10437400639057
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.10360327363014
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239        -0.10283574461937
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786        -0.10206881165504
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961         -0.1013056114316
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323        -0.10054405033588
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684       -0.099784649908543
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045        -0.09902898222208
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406       -0.098275996744633
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581       -0.097524642944336
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942       -0.096778601408005
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303        -0.09603314101696
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664       -0.095292448997498
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025       -0.094554454088211
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386       -0.093820169568062
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748       -0.093088567256927
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109        -0.09236016869545
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.091634452342987
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645       -0.090914011001587
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006       -0.090194687247276
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367       -0.089481174945831
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728       -0.088771387934685
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089       -0.088065311312675
                        0                        0                    173.3                    86.36                    43.18           2.027899980545       -0.087361916899681
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812        -0.08666380494833
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987       -0.085969410836697
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348       -0.085277676582336
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709       -0.084591746330261
                        0                        0                    173.3                    86.36                    43.18           2.032399892807       -0.083909027278423
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431        -0.08323261141777
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792       -0.082558356225491
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153       -0.081889890134335
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514       -0.081223577260971
                        0                        0                    173.3                    86.36                    43.18           2.036899805069       -0.080563053488731
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051       -0.079906761646271
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412       -0.079252615571022
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773       -0.078605823218822
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134       -0.077962219715118
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495       -0.077324934303761
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856       -0.076690822839737
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217       -0.076061464846134
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393       -0.075436323881149
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754       -0.074816972017288
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115         -0.0742002800107
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476       -0.073590941727161
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837       -0.072985298931599
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198        -0.07238283008337
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559        -0.07178770750761
                        0                        0                    173.3                    86.36                    43.18           2.050400018692       -0.071196809411049
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095       -0.070609599351883
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457       -0.070027649402618
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818       -0.069450438022614
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179       -0.068879000842571
                        0                        0                    173.3                    86.36                    43.18           2.054899930954       -0.068311780691147
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901       -0.067749291658401
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262       -0.067192047834396
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623       -0.066640071570873
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798       -0.066091775894165
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159       -0.065550290048122
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521       -0.065012492239475
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882       -0.064480468630791
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243       -0.063953176140785
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604       -0.063429035246372
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965       -0.062913797795773
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326       -0.062400668859482
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501        -0.06189227104187
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862       -0.061391200870275
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223        -0.06089223921299
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584       -0.060399569571018
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946        -0.05991318076849
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307       -0.059428904205561
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668       -0.058953516185284
                        0                        0                    173.3                    86.36                    43.18          2.0720000267029       -0.058480758219957
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204       -0.058013759553432
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565       -0.057550437748432
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926       -0.057093389332294
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287       -0.056640539318323
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648       -0.056192394345999
                        0                        0                    173.3                    86.36                    43.18           2.077399969101       -0.055750012397766
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371       -0.055312857031822
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732       -0.054880939424038
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907       -0.054451122879982
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268       -0.054029665887356
                        0                        0                    173.3                    86.36                    43.18          2.0818998813629       -0.053611353039742
                        0                        0                    173.3                    86.36                    43.18           2.082799911499       -0.053198266774416
                        0                        0                    173.3                    86.36                    43.18          2.0836999416351       -0.052790936082602
                        0                        0                    173.3                    86.36                    43.18          2.0845999717712       -0.052387785166502
