                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204       -0.064048618078232
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565       -0.063542731106281
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926       -0.063041560351849
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287       -0.062545634806156
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648       -0.062052872031927
                        0                        0                    173.3                    86.36                    43.18           2.077399969101       -0.061567429453135
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371        -0.06108358502388
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732       -0.060606021434069
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907       -0.060133695602417
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268       -0.059666603803635
                        0                        0                    173.3                    86.36                    43.18          2.0818998813629       -0.059203192591667
                        0                        0                    173.3                    86.36                    43.18           2.082799911499       -0.058745540678501
                        0                        0                    173.3                    86.36                    43.18          2.0836999416351       -0.058291558176279
                        0                        0                    173.3                    86.36                    43.18          2.0845999717712       -0.057842809706926
                        0                        0                    173.3                    86.36                    43.18          2.0855000019073       -0.057399302721024
                        0                        0                    173.3                    86.36                    43.18          2.0864000320435       -0.056959461420774
                        0                        0                    173.3                    86.36                    43.18           2.087299823761       -0.056525371968746
                        0                        0                    173.3                    86.36                    43.18          2.0881998538971       -0.056095998734236
                        0                        0                    173.3                    86.36                    43.18          2.0890998840332       -0.055672373622656
                        0                        0                    173.3                    86.36                    43.18          2.0899999141693        -0.05525242164731
                        0                        0                    173.3                    86.36                    43.18          2.0908999443054        -0.05483665317297
                        0                        0                    173.3                    86.36                    43.18          2.0917999744415       -0.054426118731499
                        0                        0                    173.3                    86.36                    43.18          2.0927000045776       -0.054019767791033
                        0                        0                    173.3                    86.36                    43.18          2.0936000347137       -0.053618121892214
                        0                        0                    173.3                    86.36                    43.18          2.0944998264313       -0.053221710026264
                        0                        0                    173.3                    86.36                    43.18          2.0953998565674       -0.052829477936029
                        0                        0                    173.3                    86.36                    43.18          2.0962998867035       -0.052442476153374
                        0                        0                    173.3                    86.36                    43.18          2.0971999168396       -0.052059136331081
                        0                        0                    173.3                    86.36                    43.18          2.0980999469757       -0.051682583987713
                        0                        0                    173.3                    86.36                    43.18          2.0989999771118       -0.051308128982782
                        0                        0                    173.3                    86.36                    43.18          2.0999000072479        -0.05093889683485
                        0                        0                    173.3                    86.36                    43.18           2.100800037384       -0.050573851913214
                        0                        0                    173.3                    86.36                    43.18          2.1016998291016       -0.050214543938637
                        0                        0                    173.3                    86.36                    43.18          2.1025998592377       -0.049859419465065
                        0                        0                    173.3                    86.36                    43.18          2.1034998893738       -0.049509517848492
                        0                        0                    173.3                    86.36                    43.18          2.1043999195099        -0.04916275292635
                        0                        0                    173.3                    86.36                    43.18           2.105299949646       -0.048821203410625
                        0                        0                    173.3                    86.36                    43.18          2.1061999797821       -0.048482798039913
                        0                        0                    173.3                    86.36                    43.18          2.1071000099182       -0.048150651156902
                        0                        0                    173.3                    86.36                    43.18          2.1080000400543       -0.047821640968323
                        0                        0                    173.3                    86.36                    43.18          2.1088998317719       -0.047497846186161
                        0                        0                    173.3                    86.36                    43.18           2.109799861908       -0.047177709639072
